source,target,regex,type,code,match
"^/velkoobchody/auto-moto/","/velkoobchody/vozidla-a-nahradni-dily/","1","url","301","url"
"^/velkoobchody/cestovani/","/velkoobchody/tasky-a-zavazadla/","1","url","301","url"
"^/velkoobchody/chovatelske-potreby/","/velkoobchody/chovatelstvi/","1","url","301","url"
"^/velkoobchody/detske-zbozi/","/velkoobchody/deti-a-kojenci/","1","url","301","url"
"^/velkoobchody/erotika/","/velkoobchody/pro-dospele/","1","url","301","url"
"^/velkoobchody/hudba-a-film/","/velkoobchody/umeni-a-zabava/","1","url","301","url"
"^/velkoobchody/knihy-a-casopisy/","/velkoobchody/media/","1","url","301","url"
"^/velkoobchody/kosmetika-a-parfemy/","/velkoobchody/zdravi-a-krasa/","1","url","301","url"
"^/velkoobchody/kvetiny/","/velkoobchody/umeni-a-zabava/","1","url","301","url"
"^/velkoobchody/lekarna-a-zdravi/","/velkoobchody/zdravi-a-krasa/","1","url","301","url"
"^/velkoobchody/mobily-a-gps/","/velkoobchody/elektronika/","1","url","301","url"
"^/velkoobchody/nemovistosti/","/velkoobchody/obchod-a-prumysl/","1","url","301","url"
"^/velkoobchody/ostatni/","/velkoobchody/obchod-a-prumysl/","1","url","301","url"
"^/velkoobchody/pocitace-a-hry/","/velkoobchody/hracky-a-hry/","1","url","301","url"
"^/velkoobchody/potraviny/","/velkoobchody/jidlo-piti-a-tabak/","1","url","301","url"
"^/velkoobchody/sberatelstvi/","/velkoobchody/umeni-a-zabava/","1","url","301","url"
"^/velkoobchody/sluzby/","/velkoobchody/obchod-a-prumysl/","1","url","301","url"
"^/velkoobchody/sperky-a-hodinky/","/velkoobchody/obleceni-a-doplnky/","1","url","301","url"
"^/velkoobchody/sport-a-turistika/","/velkoobchody/sportovni-potreby/","1","url","301","url"
"^/velkoobchody/starozitnosti-a-umeni/","/velkoobchody/dum-a-zahrada/","1","url","301","url"
"^/velkoobchody/stavebni-material/","/velkoobchody/kutilstvi-a-remeslo/","1","url","301","url"
"^/velkoobchody/tabak-a-alkohol/","/velkoobchody/jidlo-piti-a-tabak/","1","url","301","url"
"^/velkoobchody/ubytovani/","/velkoobchody/obchod-a-prumysl/","1","url","301","url"
"^/velkoobchody/vojenstvi/","/velkoobchody/obleceni-a-doplnky/","1","url","301","url"
"^/velkoobchody/zabava/","/velkoobchody/umeni-a-zabava/","1","url","301","url"
